"Nest ID_marking","Adult1","Adult2","Adult3","Chick1","Chick2","Chick3","Status","Est_LayDate","Est_HatchDate","HatchDate","Est_TranspondDate5","Est_TranspondDate6","Est_FledgeDate","Eggs","Chicks","diffchicks","Notes","__id"
"A33","956000015726336","956000015822301",NA,NA,NA,NA,"Chicks","2022-08-24","2022-09-28","2022-09-29","2022-11-03","2022-11-10","2022-11-24","0","2",NA,NA,NA
"H19","956000015723454","956000015713304",NA,"956000015724381","956000015723919",NA,"Fledged","2022-09-02","2022-10-07","2022-09-29","2022-11-03","2022-11-10","2022-11-24","0","2",NA,NA,NA
"F9",NA,NA,NA,NA,NA,NA,"Chicks","2022-09-02","2022-10-07","2022-09-29","2022-11-03","2022-11-10","2022-11-24","0","2",NA,NA,NA
"B10",NA,NA,NA,"956000015817475","956000015690789",NA,"Fledged","2022-08-15","2022-09-19","2022-10-03","2022-11-07","2022-11-14","2022-11-28","0","2",NA,NA,NA
"B31","956000015696481","956000015813618",NA,"956000015723761",NA,NA,"Fledged","2022-08-15","2022-09-19","2022-10-03","2022-11-07","2022-11-14","2022-11-28","0","2",NA,NA,NA
"B8",NA,NA,NA,"956000015725378","956000015690685",NA,"Fledged","2022-08-24","2022-09-28","2022-10-03","2022-11-07","2022-11-14","2022-11-28","0","2",NA,NA,NA
"B22",NA,NA,NA,NA,NA,NA,"Chicks","2022-09-02","2022-10-07","2022-10-03","2022-11-07","2022-11-14","2022-11-28","1","1",NA,NA,NA
"A16","956000015722573",NA,NA,"956000015691605","956000015692040",NA,"Fledged","2022-09-02","2022-10-07","2022-10-04","2022-11-08","2022-11-15","2022-11-29","0","2",NA,NA,NA
"D19",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-04","2022-11-08","2022-10-04","2022-11-08","2022-11-15","2022-11-29","0","2",NA,NA,NA
"D9",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-04","2022-11-08","2022-10-04","2022-11-08","2022-11-15","2022-11-29","0","2",NA,NA,NA
"F18",NA,NA,NA,NA,NA,NA,"Chicks","2022-08-15","2022-09-19","2022-10-04","2022-11-08","2022-11-15","2022-11-29","0","1",NA,NA,NA
"D17","956000015704508",NA,NA,"956000015816330","956000015814767",NA,"Fledged","2022-10-10","2022-11-14","2022-10-10","2022-11-14","2022-11-21","2022-12-05","0","2",NA,NA,NA
"D6",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-04","2022-11-08","2022-10-10","2022-11-14","2022-11-21","2022-12-05","0","2",NA,NA,NA
"G1","956000015722839","956000015724083",NA,"956000015690971","956000015725373",NA,"Fledged","2022-09-20","2022-10-25","2022-10-18","2022-11-22","2022-11-29","2022-12-13","0","2",NA,NA,NA
"G13","956000014985395","956000015726275",NA,"956000015722381",NA,NA,"Fledged","2022-09-20","2022-10-25","2022-10-18","2022-11-22","2022-11-29","2022-12-13","0","1",NA,NA,NA
"G2","956000015711146","956000015706396",NA,"956000015724149","956000015692932",NA,"Fledged","2022-09-20","2022-10-25","2022-10-18","2022-11-22","2022-11-29","2022-12-13",NA,"1",NA,NA,NA
"G43","956000015692083","956000015695039",NA,"956000015722238","956000015691335",NA,"Fledged","2022-09-20","2022-10-25","2022-10-18","2022-11-22","2022-11-29","2022-12-13","0","2",NA,NA,NA
"G44","956000015712904","956000015692097",NA,"956000014566213","956000014422544",NA,"Fledged","2022-09-02","2022-10-07","2022-10-18","2022-11-22","2022-11-29","2022-12-13","1","1",NA,NA,NA
"G47","956000015708831","956000015692157",NA,"956000015725939","956000015724776",NA,"Fledged","2022-09-20","2022-10-25","2022-10-18","2022-11-22","2022-11-29","2022-12-13",NA,"1",NA,NA,NA
"B50",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-10","2022-10-15","2022-10-18","2022-11-22","2022-11-29","2022-12-13","0","2",NA,NA,NA
"H20",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-20","2022-10-25","2022-10-18","2022-11-22","2022-11-29","2022-12-13",NA,"1",NA,NA,NA
"D1","956000015722801","956000015820652",NA,"956000015815596",NA,NA,"Fledged","2022-10-04","2022-11-08","2022-10-25","2022-11-29","2022-12-06","2022-12-20","1","1",NA,NA,NA
"D21","956000015725456","956000015821761",NA,"956000015724628","956000015692488",NA,"Fledged","2022-10-04","2022-11-08","2022-10-25","2022-11-29","2022-12-06","2022-12-20","1","1",NA,NA,NA
"D4","956000015818719",NA,NA,"956000015722545","956000015725626",NA,"Fledged","2022-10-04","2022-11-08","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"F21","956000015817835","956000015722459",NA,"956000015726086",NA,NA,"Fledged","2022-09-19","2022-10-24","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"F29","956000015724939","956000015833335",NA,"956000015813216","956000015722896",NA,"Fledged","2022-09-19","2022-10-24","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"F30","956000015812966","956000015723139",NA,"956000015692118","956000015692103",NA,"Fledged","2022-09-19","2022-10-24","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"F40","956000015814628","956000015690668",NA,"956000015724017","956000015691293",NA,"Fledged","2022-09-19","2022-10-24","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"F8","956000015815298","956000015691196",NA,"956000015817510","956000015722700",NA,"Fledged","2022-09-20","2022-10-25","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"G12","956000015821546","956000015691214",NA,"956000015723275","956000015690757",NA,"Fledged","2022-09-20","2022-10-25","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"G26","956000015722690","956000015710654",NA,"956000015692561","956000015815126",NA,"Fledged","2022-09-10","2022-10-15","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"G34","956000015724135","956000015725741",NA,"956000015691874","956000015695114",NA,"Chicks","2022-09-20","2022-10-25","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"G5","956000014985502","956000015695441",NA,"956000015692046","956000015723483",NA,"Fledged","2022-09-20","2022-10-25","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"G50","956000015725050","956000015691069",NA,"956000015724679","956000015725843",NA,"Fledged","2022-09-19","2022-10-24","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"H13","956000015723322","956000015724438",NA,"956000015725664","956000015690799",NA,"Fledged","2022-09-20","2022-10-25","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"A29","956000015725440",NA,NA,"956000015690840","956000015725513",NA,"Fledged","2022-09-19","2022-10-24","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"A22",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-19","2022-10-24","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"A23",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-19","2022-10-24","2022-10-25","2022-11-29","2022-12-06","2022-12-20","1","1",NA,NA,NA
"A26",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-19","2022-10-24","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"A30",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-19","2022-10-24","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"B23",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-19","2022-10-24","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","1",NA,NA,NA
"D14",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-10","2022-11-14","2022-10-25","2022-11-29","2022-12-06","2022-12-20","1","1",NA,NA,NA
"D18",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-04","2022-11-08","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"F27",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-27","2022-11-01","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"F34",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-19","2022-10-24","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"F47",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-29","2022-11-03","2022-10-25","2022-11-29","2022-12-06","2022-12-20","0","2",NA,NA,NA
"A1","956000015725023","956000015724084",NA,"956000015693768","956000015724505",NA,"Fledged","2022-09-12","2022-10-17","2022-10-26","2022-11-30","2022-12-07","2022-12-21","0","2",NA,NA,NA
"A44","956000015692145","956000015820136",NA,"956000015724617","956000015691992",NA,"Fledged","2022-09-20","2022-10-25","2022-10-26","2022-11-30","2022-12-07","2022-12-21","0","2",NA,NA,NA
"A45","956000015722977","956000015723364",NA,"956000015812481","956000015722793",NA,"Fledged","2022-09-20","2022-10-25","2022-10-26","2022-11-30","2022-12-07","2022-12-21","0","2",NA,NA,NA
"A6","956000015725281","956000015723821","956000015726356","956000015691807","956000015691282",NA,"Fledged","2022-09-20","2022-10-25","2022-10-26","2022-11-30","2022-12-07","2022-12-21","0","2",NA,NA,NA
"A9","956000015816291","956000015818521",NA,"956000015815008",NA,NA,"Fledged","2022-09-20","2022-10-25","2022-10-26","2022-11-30","2022-12-07","2022-12-21","0","2",NA,NA,NA
"B1","956000015691162","956000015725710",NA,"956000015808747",NA,NA,"Fledged","2022-09-20","2022-10-25","2022-10-26","2022-11-30","2022-12-07","2022-12-21","1","1",NA,NA,NA
"B15","956000015691090","956000015818363",NA,"956000015726486","956000015722453",NA,"Fledged","2022-09-20","2022-10-25","2022-10-26","2022-11-30","2022-12-07","2022-12-21","0","2",NA,NA,NA
"B16","956000015821535","956000015839525",NA,"956000015692461","956000015723909",NA,"Fledged","2022-09-19","2022-10-24","2022-10-26","2022-11-30","2022-12-07","2022-12-21","0","2",NA,NA,NA
"A20",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-10","2022-10-15","2022-10-26","2022-11-30","2022-12-07","2022-12-21","0","2",NA,NA,NA
"A3",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-10","2022-10-15","2022-10-26","2022-11-30","2022-12-07","2022-12-21","1","1",NA,NA,NA
"A5",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-20","2022-10-25","2022-10-26","2022-11-30","2022-12-07","2022-12-21","0","2",NA,NA,NA
"B6",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-20","2022-10-25","2022-10-26","2022-11-30","2022-12-07","2022-12-21","0","2",NA,NA,NA
"B7",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-20","2022-10-25","2022-10-26","2022-11-30","2022-12-07","2022-12-21","1","1",NA,NA,NA
"F24",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-19","2022-10-24","2022-10-26","2022-11-30","2022-12-07","2022-12-21","0","2",NA,NA,NA
"G38",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-20","2022-10-25","2022-10-26","2022-11-30","2022-12-07","2022-12-21","0","2",NA,NA,NA
"D11","956000015726446","956000015711851",NA,"956000014984224","956000015808770",NA,"Fledged","2022-10-04","2022-11-08","2022-10-31","2022-12-05","2022-12-12","2022-12-26","0","2",NA,NA,NA
"H9","956000015710077","956000015690616",NA,"956000015726087","956000015722899",NA,"Fledged","2022-09-20","2022-10-25","2022-10-31","2022-12-05","2022-12-12","2022-12-26","0","2",NA,NA,NA
"F43",NA,NA,NA,"956000015722346",NA,NA,"Fledged","2022-09-29","2022-11-03","2022-10-31","2022-12-05","2022-12-12","2022-12-26","1","1",NA,NA,NA
"B32","956000015691828","956000015725290",NA,"956000015725578","956000015725901","956000015726133","Fledged","2022-09-29","2022-11-03","2022-11-01","2022-12-06","2022-12-13","2022-12-27","0","2",NA,NA,NA
"B42","956000015692585","956000015725505",NA,"956000015813512",NA,NA,"Fledged","2022-09-27","2022-11-01","2022-11-01","2022-12-06","2022-12-13","2022-12-27","1","1",NA,NA,NA
"G25","956000014985676","956000015726450",NA,"956000015814063","956000015725671",NA,"Fledged","2022-09-27","2022-11-01","2022-11-01","2022-12-06","2022-12-13","2022-12-27","0","2",NA,NA,NA
"G40","956000015723646","956000015835159",NA,NA,NA,NA,"Chicks","2022-09-29","2022-11-03","2022-11-01","2022-12-06","2022-12-13","2022-12-27","1","1",NA,NA,NA
"A8",NA,NA,NA,"956000015815117","956000015691815",NA,"Fledged","2022-09-27","2022-11-01","2022-11-01","2022-12-06","2022-12-13","2022-12-27","0","2",NA,NA,NA
"B51",NA,NA,NA,"956000015816838",NA,NA,"Fledged","2022-09-27","2022-11-01","2022-11-01","2022-12-06","2022-12-13","2022-12-27","0","1",NA,NA,NA
"A4",NA,NA,NA,NA,NA,NA,"Chicks","2022-09-20","2022-10-25","2022-11-01","2022-12-06","2022-12-13","2022-12-27","0","2",NA,NA,NA
"B41","956000015691285","956000015812738",NA,"956000015722243",NA,NA,"Fledged","2022-09-27","2022-11-01","2022-11-07","2022-12-12","2022-12-19","2023-01-02","0","1",NA,NA,NA
"G8",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-04","2022-11-08","2022-11-07","2022-12-12","2022-12-19","2023-01-02","1","1",NA,NA,NA
"B2","956000015723949",NA,NA,NA,NA,NA,"Chicks","2022-10-03","2022-11-07","2022-11-08","2022-12-13","2022-12-20","2023-01-03","0","2",NA,NA,NA
"B20","956000015725650","956000015724247",NA,NA,NA,NA,"Fledged","2022-10-10","2022-11-14","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"B30","956000015724942",NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"B45",NA,NA,NA,"956000015838156",NA,NA,"Chicks","2022-09-27","2022-11-01","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"G37",NA,NA,NA,"956000015702481",NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09",NA,"1",NA,NA,NA
"A10",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"B11",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09",NA,"1",NA,NA,NA
"B17",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","1","1",NA,NA,NA
"B28",NA,NA,NA,NA,NA,NA,"Fledged","2022-09-29","2022-11-03","2022-11-14","2022-12-19","2022-12-26","2023-01-09","1","1",NA,NA,NA
"B37",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"B52",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","1",NA,NA,NA
"B53",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"B9",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"F22",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"F35",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","1","1",NA,NA,NA
"G24",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-10","2022-11-14","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"G30",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-11","2022-11-15","2022-11-14","2022-12-19","2022-12-26","2023-01-09","1","1",NA,NA,NA
"G33",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-04","2022-11-08","2022-11-14","2022-12-19","2022-12-26","2023-01-09","1","1",NA,NA,NA
"G35",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-04","2022-11-08","2022-11-14","2022-12-19","2022-12-26","2023-01-09","0","2",NA,NA,NA
"D7",NA,NA,NA,"956000015696026",NA,NA,"Fledged","2022-10-10","2022-11-14","2022-11-15","2022-12-20","2022-12-27","2023-01-10","1","1",NA,NA,NA
"F10",NA,NA,NA,"956000015717691","956000015723148",NA,"Chicks","2022-10-11","2022-11-15","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
"H23",NA,NA,NA,"956000015724476",NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
"D16",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-10","2022-11-14","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
"D20",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-18","2022-11-22","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
"D3",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-10","2022-11-14","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
"F15",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-11","2022-11-15","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
"G46",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-15","2022-12-20","2022-12-27","2023-01-10","1","1",NA,NA,NA
"G52",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
"G9",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","1",NA,NA,NA
"B47","956000015724494","956000015720452",NA,NA,NA,NA,"Chicks","2022-10-17","2022-11-21","2022-11-21","2022-12-26","2023-01-02","2023-01-16","0","2",NA,"Mark chicks",NA
"A21",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-17","2022-11-21","2022-11-21","2022-12-26","2023-01-02","2023-01-16","0","2",NA,"Mark chicks",NA
"A34",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-21","2022-12-26","2023-01-02","2023-01-16","0","2",NA,"Mark chicks",NA
"F33",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-03","2022-11-07","2022-11-21","2022-12-26","2023-01-02","2023-01-16","0","2",NA,"Mark chicks",NA
"G53",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-17","2022-11-21","2022-11-21","2022-12-26","2023-01-02","2023-01-16","1","1",NA,"Mark chicks",NA
"A11",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-18","2022-11-22","2022-11-22","2022-12-27","2023-01-03","2023-01-17","0","2",NA,"Mark chicks",NA
"B40",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-04","2022-11-08","2022-11-22","2022-12-27","2023-01-03","2023-01-17","0","2",NA,"Mark chicks",NA
"D10",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-10","2022-11-14","2022-11-22","2022-12-27","2023-01-03","2023-01-17","0","1",NA,"Mark chicks",NA
"D25",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-18","2022-11-22","2022-11-22","2022-12-27","2023-01-03","2023-01-17",NA,"1",NA,"Mark chicks",NA
"G20",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-22","2022-12-27","2023-01-03","2023-01-17","1","1",NA,"Mark chicks",NA
"G21",NA,NA,NA,NA,NA,NA,"Chicks","2022-09-27","2022-11-01","2022-11-22","2022-12-27","2023-01-03","2023-01-17","0","1",NA,"Mark chicks",NA
"D13",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-18","2022-11-22","2022-11-29","2023-01-03","2023-01-10","2023-01-24","0","2",NA,"Mark chicks",NA
"D23",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-10","2022-11-14","2022-11-29","2023-01-03","2023-01-10","2023-01-24","1","1",NA,"Mark chicks",NA
"D28",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-25","2022-11-29","2022-11-29","2023-01-03","2023-01-10","2023-01-24","0","1",NA,"Mark chicks",NA
"A31",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"A47",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-26","2022-11-30","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"B19",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-17","2022-11-21","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"B21",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-05","2023-01-09","2023-01-16","2023-01-30",NA,"1",NA,NA,NA
"B36",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-17","2022-11-21","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"B38",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-18","2022-11-22","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"B49",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-05","2023-01-09","2023-01-16","2023-01-30",NA,"1",NA,NA,NA
"B54",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-08","2022-12-13","2022-12-05","2023-01-09","2023-01-16","2023-01-30",NA,"1",NA,NA,NA
"D15",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-10","2022-11-14","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"F32",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-05","2023-01-09","2023-01-16","2023-01-30","1","1",NA,NA,NA
"F36",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-05","2023-01-09","2023-01-16","2023-01-30","1","1",NA,NA,NA
"G19",NA,NA,NA,NA,NA,NA,"Chicks","2022-09-20","2022-10-25","2022-12-05","2023-01-09","2023-01-16","2023-01-30",NA,"1",NA,NA,NA
"G4",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-31","2022-12-05","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"G49",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-05","2023-01-09","2023-01-16","2023-01-30","1","1",NA,NA,NA
"G54",NA,NA,NA,NA,NA,NA,"Fledged","2022-12-05","2023-01-09","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"H22",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-26","2022-11-30","2022-12-05","2023-01-09","2023-01-16","2023-01-30","1","1",NA,NA,NA
"A13",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-12","2023-01-16","2023-01-23","2023-02-06","0","2",NA,NA,NA
"A27",NA,NA,NA,NA,NA,NA,"Chicks","2022-09-19","2022-10-24","2022-12-12","2023-01-16","2023-01-23","2023-02-06","0","2",NA,NA,NA
"B13",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-14","2022-12-19","2022-12-12","2023-01-16","2023-01-23","2023-02-06",NA,"1",NA,NA,NA
"D24",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-31","2022-12-05","2022-12-12","2023-01-16","2023-01-23","2023-02-06","0","2",NA,NA,NA
"G18",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-14","2022-12-19","2022-12-12","2023-01-16","2023-01-23","2023-02-06",NA,"1",NA,NA,NA
"G29",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-14","2022-12-19","2022-12-12","2023-01-16","2023-01-23","2023-02-06","0","2",NA,NA,NA
"B18",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-08","2022-12-13","2022-12-19","2023-01-23","2023-01-30","2023-02-13","1","1",NA,NA,NA
"G22",NA,NA,NA,NA,NA,NA,"Fledged","2022-11-14","2022-12-19","2022-12-19","2023-01-23","2023-01-30","2023-02-13","1","1",NA,NA,NA
"H25",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-29","2023-01-03","2022-12-29","2023-02-02","2023-02-09","2023-02-23","1","1",NA,NA,NA
"G41",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-28","2023-01-02","2023-01-02","2023-02-06","2023-02-13","2023-02-27","1","1",NA,NA,NA
